video,source_tracklet,candidate_tracklet,gap_frames,prediction_error,label,clip_path,clip_index
videos/identical_balls_trick_000_018.mp4,14,19,8,297.087982,correct,outputs/stitch_review/identical_balls_trick_000_018/00016_source-14_candidate-19_gap-8_rank-1_error-297.09.mp4,16
videos/identical_balls_trick_000_018.mp4,14,18,0,485.531125,wrong,outputs/stitch_review/identical_balls_trick_000_018/00017_source-14_candidate-18_gap-0_rank-2_error-485.53.mp4,17
videos/identical_balls_trick_000_018.mp4,15,17,10,138.374729,wrong,outputs/stitch_review/identical_balls_trick_000_018/00018_source-15_candidate-17_gap-10_rank-1_error-138.37.mp4,18
videos/identical_balls_trick_000_018.mp4,15,16,2,213.245485,correct,outputs/stitch_review/identical_balls_trick_000_018/00019_source-15_candidate-16_gap-2_rank-2_error-213.25.mp4,19
videos/identical_balls_trick_000_018.mp4,16,19,2,571.379028,wrong,outputs/stitch_review/identical_balls_trick_000_018/00020_source-16_candidate-19_gap-2_rank-1_error-571.38.mp4,20
videos/identical_balls_trick_000_018.mp4,17,22,7,144.932401,correct,outputs/stitch_review/identical_balls_trick_000_018/00021_source-17_candidate-22_gap-7_rank-1_error-144.93.mp4,21
videos/identical_balls_trick_000_018.mp4,18,21,0,238.086167,wrong,outputs/stitch_review/identical_balls_trick_000_018/00022_source-18_candidate-21_gap-0_rank-1_error-238.09.mp4,22
videos/identical_balls_trick_000_018.mp4,18,22,8,401.108582,wrong,outputs/stitch_review/identical_balls_trick_000_018/00023_source-18_candidate-22_gap-8_rank-2_error-401.11.mp4,23
videos/identical_balls_trick_000_018.mp4,19,20,1,107.20428,correct,outputs/stitch_review/identical_balls_trick_000_018/00024_source-19_candidate-20_gap-1_rank-1_error-107.20.mp4,24
videos/identical_balls_trick_000_018.mp4,20,22,6,283.373597,wrong,outputs/stitch_review/identical_balls_trick_000_018/00025_source-20_candidate-22_gap-6_rank-1_error-283.37.mp4,25
videos/identical_balls_trick_000_018.mp4,21,22,2,70.582141,correct,outputs/stitch_review/identical_balls_trick_000_018/00026_source-21_candidate-22_gap-2_rank-1_error-70.58.mp4,26
videos/identical_balls_trick_000_018.mp4,22,27,5,149.010697,wrong,outputs/stitch_review/identical_balls_trick_000_018/00027_source-22_candidate-27_gap-5_rank-1_error-149.01.mp4,27
videos/identical_balls_trick_000_018.mp4,23,25,2,89.171723,correct,outputs/stitch_review/identical_balls_trick_000_018/00028_source-23_candidate-25_gap-2_rank-1_error-89.17.mp4,28
videos/identical_balls_trick_000_018.mp4,25,27,6,109.135584,correct,outputs/stitch_review/identical_balls_trick_000_018/00029_source-25_candidate-27_gap-6_rank-1_error-109.14.mp4,29
videos/identical_balls_trick_000_018.mp4,25,26,0,155.808292,wrong,outputs/stitch_review/identical_balls_trick_000_018/00030_source-25_candidate-26_gap-0_rank-2_error-155.81.mp4,30
videos/identical_balls_trick_000_018.mp4,28,29,3,3.654163,correct,outputs/stitch_review/identical_balls_trick_000_018/00031_source-28_candidate-29_gap-3_rank-1_error-3.65.mp4,31
videos/identical_balls_trick_000_018.mp4,29,34,5,27.429865,correct,outputs/stitch_review/identical_balls_trick_000_018/00032_source-29_candidate-34_gap-5_rank-1_error-27.43.mp4,32
videos/identical_balls_trick_000_018.mp4,30,33,5,7.004908,correct,outputs/stitch_review/identical_balls_trick_000_018/00033_source-30_candidate-33_gap-5_rank-1_error-7.00.mp4,33
videos/identical_balls_trick_000_018.mp4,31,36,5,13.207599,correct,outputs/stitch_review/identical_balls_trick_000_018/00034_source-31_candidate-36_gap-5_rank-1_error-13.21.mp4,34
videos/identical_balls_trick_000_018.mp4,31,38,5,423.933957,wrong,outputs/stitch_review/identical_balls_trick_000_018/00035_source-31_candidate-38_gap-5_rank-2_error-423.93.mp4,35
videos/identical_balls_trick_000_018.mp4,31,37,5,437.032421,wrong,outputs/stitch_review/identical_balls_trick_000_018/00036_source-31_candidate-37_gap-5_rank-3_error-437.03.mp4,36
videos/identical_balls_trick_000_018.mp4,35,37,5,13.665632,correct,outputs/stitch_review/identical_balls_trick_000_018/00037_source-35_candidate-37_gap-5_rank-1_error-13.67.mp4,37
videos/identical_balls_trick_000_018.mp4,35,38,5,107.654066,wrong,outputs/stitch_review/identical_balls_trick_000_018/00038_source-35_candidate-38_gap-5_rank-2_error-107.65.mp4,38
videos/identical_balls_trick_000_018.mp4,35,36,5,439.03282,wrong,outputs/stitch_review/identical_balls_trick_000_018/00039_source-35_candidate-36_gap-5_rank-3_error-439.03.mp4,39
videos/identical_balls_trick_000_018.mp4,36,41,9,256.456305,wrong,outputs/stitch_review/identical_balls_trick_000_018/00040_source-36_candidate-41_gap-9_rank-1_error-256.46.mp4,40
videos/identical_balls_trick_000_018.mp4,37,40,10,46.571051,correct,outputs/stitch_review/identical_balls_trick_000_018/00041_source-37_candidate-40_gap-10_rank-1_error-46.57.mp4,41
videos/identical_balls_trick_000_018.mp4,37,39,6,111.551,wrong,outputs/stitch_review/identical_balls_trick_000_018/00042_source-37_candidate-39_gap-6_rank-2_error-111.55.mp4,42
videos/identical_balls_trick_000_018.mp4,38,39,6,57.366993,correct,outputs/stitch_review/identical_balls_trick_000_018/00043_source-38_candidate-39_gap-6_rank-1_error-57.37.mp4,43
videos/identical_balls_trick_000_018.mp4,38,40,10,80.551361,wrong,outputs/stitch_review/identical_balls_trick_000_018/00044_source-38_candidate-40_gap-10_rank-2_error-80.55.mp4,44
videos/identical_balls_trick_000_018.mp4,39,47,3,14.709662,correct,outputs/stitch_review/identical_balls_trick_000_018/00045_source-39_candidate-47_gap-3_rank-1_error-14.71.mp4,45
videos/identical_balls_trick_000_018.mp4,39,48,9,624.476255,wrong,outputs/stitch_review/identical_balls_trick_000_018/00046_source-39_candidate-48_gap-9_rank-2_error-624.48.mp4,46
videos/identical_balls_trick_000_018.mp4,40,41,3,7.52788,correct,outputs/stitch_review/identical_balls_trick_000_018/00047_source-40_candidate-41_gap-3_rank-1_error-7.53.mp4,47
videos/identical_balls_trick_000_018.mp4,40,42,5,222.7078,wrong,outputs/stitch_review/identical_balls_trick_000_018/00048_source-40_candidate-42_gap-5_rank-2_error-222.71.mp4,48
videos/identical_balls_trick_000_018.mp4,41,43,7,9.009177,correct,outputs/stitch_review/identical_balls_trick_000_018/00049_source-41_candidate-43_gap-7_rank-1_error-9.01.mp4,49
videos/identical_balls_trick_000_018.mp4,41,44,9,279.241266,wrong,outputs/stitch_review/identical_balls_trick_000_018/00050_source-41_candidate-44_gap-9_rank-2_error-279.24.mp4,50
videos/identical_balls_trick_000_018.mp4,43,45,4,6.349576,correct,outputs/stitch_review/identical_balls_trick_000_018/00051_source-43_candidate-45_gap-4_rank-1_error-6.35.mp4,51
videos/identical_balls_trick_000_018.mp4,44,53,5,393.605215,correct,outputs/stitch_review/identical_balls_trick_000_018/00052_source-44_candidate-53_gap-5_rank-1_error-393.61.mp4,52
videos/identical_balls_trick_000_018.mp4,45,46,3,8.48101,correct,outputs/stitch_review/identical_balls_trick_000_018/00053_source-45_candidate-46_gap-3_rank-1_error-8.48.mp4,53
videos/identical_balls_trick_000_018.mp4,45,47,9,182.171113,wrong,outputs/stitch_review/identical_balls_trick_000_018/00054_source-45_candidate-47_gap-9_rank-2_error-182.17.mp4,54
videos/identical_balls_trick_000_018.mp4,47,52,3,25.073314,correct,outputs/stitch_review/identical_balls_trick_000_018/00055_source-47_candidate-52_gap-3_rank-1_error-25.07.mp4,55
videos/identical_balls_trick_000_018.mp4,50,55,0,90.852687,correct,outputs/stitch_review/identical_balls_trick_000_018/00056_source-50_candidate-55_gap-0_rank-1_error-90.85.mp4,56
videos/identical_balls_trick_000_018.mp4,50,56,3,157.394301,correct,outputs/stitch_review/identical_balls_trick_000_018/00057_source-50_candidate-56_gap-3_rank-2_error-157.39.mp4,57
videos/identical_balls_trick_000_018.mp4,51,52,4,59.258427,correct,outputs/stitch_review/identical_balls_trick_000_018/00058_source-51_candidate-52_gap-4_rank-1_error-59.26.mp4,58
videos/identical_balls_trick_000_018.mp4,52,53,5,358.010666,wrong,outputs/stitch_review/identical_balls_trick_000_018/00059_source-52_candidate-53_gap-5_rank-1_error-358.01.mp4,59
videos/identical_balls_trick_000_018.mp4,53,58,10,487.539599,correct,outputs/stitch_review/identical_balls_trick_000_018/00060_source-53_candidate-58_gap-10_rank-1_error-487.54.mp4,60
videos/identical_balls_trick_000_018.mp4,54,57,3,119.945574,correct,outputs/stitch_review/identical_balls_trick_000_018/00061_source-54_candidate-57_gap-3_rank-1_error-119.95.mp4,61
videos/identical_balls_trick_000_018.mp4,56,57,4,256.470427,wrong,outputs/stitch_review/identical_balls_trick_000_018/00062_source-56_candidate-57_gap-4_rank-1_error-256.47.mp4,62
videos/identical_balls_trick_000_018.mp4,57,63,4,669.978035,wrong,outputs/stitch_review/identical_balls_trick_000_018/00063_source-57_candidate-63_gap-4_rank-1_error-669.98.mp4,63
videos/identical_balls_trick_000_018.mp4,59,61,8,210.937636,correct,outputs/stitch_review/identical_balls_trick_000_018/00064_source-59_candidate-61_gap-8_rank-1_error-210.94.mp4,64
videos/identical_balls_trick_000_018.mp4,59,62,10,357.070626,wrong,outputs/stitch_review/identical_balls_trick_000_018/00065_source-59_candidate-62_gap-10_rank-2_error-357.07.mp4,65
videos/identical_balls_trick_000_018.mp4,60,64,2,112.144531,correct,outputs/stitch_review/identical_balls_trick_000_018/00066_source-60_candidate-64_gap-2_rank-1_error-112.14.mp4,66
videos/identical_balls_trick_000_018.mp4,62,66,3,80.112119,correct,outputs/stitch_review/identical_balls_trick_000_018/00067_source-62_candidate-66_gap-3_rank-1_error-80.11.mp4,67
videos/identical_balls_trick_000_018.mp4,62,65,2,121.984475,wrong,outputs/stitch_review/identical_balls_trick_000_018/00068_source-62_candidate-65_gap-2_rank-2_error-121.98.mp4,68
videos/identical_balls_trick_000_018.mp4,63,66,6,362.333129,wrong,outputs/stitch_review/identical_balls_trick_000_018/00069_source-63_candidate-66_gap-6_rank-1_error-362.33.mp4,69
videos/identical_balls_trick_000_018.mp4,63,65,5,370.612723,correct,outputs/stitch_review/identical_balls_trick_000_018/00070_source-63_candidate-65_gap-5_rank-2_error-370.61.mp4,70
videos/identical_balls_trick_000_018.mp4,64,68,0,144.702691,correct,outputs/stitch_review/identical_balls_trick_000_018/00071_source-64_candidate-68_gap-0_rank-1_error-144.70.mp4,71
videos/identical_balls_trick_000_018.mp4,64,69,7,409.525993,wrong,outputs/stitch_review/identical_balls_trick_000_018/00072_source-64_candidate-69_gap-7_rank-2_error-409.53.mp4,72
videos/identical_balls_trick_000_018.mp4,65,69,1,257.553185,wrong,outputs/stitch_review/identical_balls_trick_000_018/00073_source-65_candidate-69_gap-1_rank-1_error-257.55.mp4,73
videos/identical_balls_trick_000_018.mp4,66,69,7,177.494931,correct,outputs/stitch_review/identical_balls_trick_000_018/00074_source-66_candidate-69_gap-7_rank-1_error-177.49.mp4,74
videos/identical_balls_trick_000_018.mp4,66,68,0,261.144339,wrong,outputs/stitch_review/identical_balls_trick_000_018/00075_source-66_candidate-68_gap-0_rank-2_error-261.14.mp4,75
videos/identical_balls_trick_000_018.mp4,67,70,3,128.812961,correct,outputs/stitch_review/identical_balls_trick_000_018/00076_source-67_candidate-70_gap-3_rank-1_error-128.81.mp4,76
videos/identical_balls_trick_000_018.mp4,67,72,3,308.336286,wrong,outputs/stitch_review/identical_balls_trick_000_018/00077_source-67_candidate-72_gap-3_rank-2_error-308.34.mp4,77
videos/identical_balls_trick_000_018.mp4,67,71,3,393.987259,wrong,outputs/stitch_review/identical_balls_trick_000_018/00078_source-67_candidate-71_gap-3_rank-3_error-393.99.mp4,78
videos/identical_balls_trick_000_018.mp4,68,71,8,491.911207,correct,outputs/stitch_review/identical_balls_trick_000_018/00079_source-68_candidate-71_gap-8_rank-1_error-491.91.mp4,79
videos/identical_balls_trick_000_018.mp4,68,72,8,596.642255,wrong,outputs/stitch_review/identical_balls_trick_000_018/00080_source-68_candidate-72_gap-8_rank-2_error-596.64.mp4,80
videos/identical_balls_trick_000_018.mp4,68,70,8,750.906382,wrong,outputs/stitch_review/identical_balls_trick_000_018/00081_source-68_candidate-70_gap-8_rank-3_error-750.91.mp4,81
videos/identical_balls_trick_000_018.mp4,70,74,0,115.332213,correct,outputs/stitch_review/identical_balls_trick_000_018/00082_source-70_candidate-74_gap-0_rank-1_error-115.33.mp4,82
videos/identical_balls_trick_000_018.mp4,72,74,0,263.430342,wrong,outputs/stitch_review/identical_balls_trick_000_018/00083_source-72_candidate-74_gap-0_rank-1_error-263.43.mp4,83
videos/identical_balls_trick_000_018.mp4,73,75,4,198.741681,correct,outputs/stitch_review/identical_balls_trick_000_018/00084_source-73_candidate-75_gap-4_rank-1_error-198.74.mp4,84
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,1,9,6,40.659569,correct,outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00000_source-1_candidate-9_gap-6_rank-1_error-40.66.mp4,0
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,1,10,9,238.416314,wrong,outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00001_source-1_candidate-10_gap-9_rank-2_error-238.42.mp4,1
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,2,8,5,161.410456,correct,outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00002_source-2_candidate-8_gap-5_rank-1_error-161.41.mp4,2
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,3,6,6,104.975591,correct,outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00003_source-3_candidate-6_gap-6_rank-1_error-104.98.mp4,3
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,4,18,3,82.626253,correct,outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00004_source-4_candidate-18_gap-3_rank-1_error-82.63.mp4,4
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,9,13,5,171.057223,correct,outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00005_source-9_candidate-13_gap-5_rank-1_error-171.06.mp4,5
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,10,11,5,271.209217,wrong,outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00006_source-10_candidate-11_gap-5_rank-1_error-271.21.mp4,6
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,11,14,3,119.143935,correct,outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00007_source-11_candidate-14_gap-3_rank-1_error-119.14.mp4,7
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,13,16,8,164.53561,correct,outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00008_source-13_candidate-16_gap-8_rank-1_error-164.54.mp4,8
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,14,17,1,83.763378,correct,outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00009_source-14_candidate-17_gap-1_rank-1_error-83.76.mp4,9
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,15,25,5,92.359045,correct,outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00010_source-15_candidate-25_gap-5_rank-1_error-92.36.mp4,10
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,16,21,8,194.413892,correct,outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00011_source-16_candidate-21_gap-8_rank-1_error-194.41.mp4,11
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,17,24,5,78.399453,correct,outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00012_source-17_candidate-24_gap-5_rank-1_error-78.40.mp4,12
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,18,30,1,96.266153,correct,outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00013_source-18_candidate-30_gap-1_rank-1_error-96.27.mp4,13
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,19,22,6,166.813603,correct,outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00014_source-19_candidate-22_gap-6_rank-1_error-166.81.mp4,14
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,20,21,8,139.183614,correct,outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00015_source-20_candidate-21_gap-8_rank-1_error-139.18.mp4,15
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,21,29,2,113.588933,correct,outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00016_source-21_candidate-29_gap-2_rank-1_error-113.59.mp4,16
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,22,26,6,161.590726,correct,outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00017_source-22_candidate-26_gap-6_rank-1_error-161.59.mp4,17
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,23,24,9,36.875325,correct,outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00018_source-23_candidate-24_gap-9_rank-1_error-36.88.mp4,18
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,25,33,0,100.10758,correct,outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00019_source-25_candidate-33_gap-0_rank-1_error-100.11.mp4,19
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,26,31,8,210.341113,correct,outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00020_source-26_candidate-31_gap-8_rank-1_error-210.34.mp4,20
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,27,28,4,68.508623,correct,outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00021_source-27_candidate-28_gap-4_rank-1_error-68.51.mp4,21
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,28,32,0,67.083823,correct,outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00022_source-28_candidate-32_gap-0_rank-1_error-67.08.mp4,22
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,29,34,2,81.708283,correct,outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00023_source-29_candidate-34_gap-2_rank-1_error-81.71.mp4,23
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,30,37,3,105.333452,correct,outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00024_source-30_candidate-37_gap-3_rank-1_error-105.33.mp4,24
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,31,35,5,162.260696,correct,outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00025_source-31_candidate-35_gap-5_rank-1_error-162.26.mp4,25
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,33,36,4,98.136715,correct,outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00026_source-33_candidate-36_gap-4_rank-1_error-98.14.mp4,26
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,35,38,2,113.144917,correct,outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00027_source-35_candidate-38_gap-2_rank-1_error-113.14.mp4,27
